Loaded plugins: langpacks, presto, refresh-packagekit
Installed Packages
dump.x86_64                                1:0.4-0.14.b44.fc18          @updates
duplicity.x86_64                           0.6.21-1.fc18                @updates
dvb-apps.x86_64                            1.1.2-4.1488.f3a70b206f0f.fc18
                                                                        @updates
dvd+rw-tools.x86_64                        7.1-10.fc18                  @koji-override-0/$releasever
e2fsprogs.x86_64                           1.42.5-1.fc18                @koji-override-0/$releasever
e2fsprogs-libs.x86_64                      1.42.5-1.fc18                @koji-override-0/$releasever
ebtables.x86_64                            2.0.10-6.fc18                @koji-override-0/$releasever
ed.x86_64                                  1.6-2.fc18                   @koji-override-0/$releasever
eekboard-libs.x86_64                       1.0.8-2.fc18                 @koji-override-0/$releasever
eekboard-service.x86_64                    1.0.8-2.fc18                 @koji-override-0/$releasever
efibootmgr.x86_64                          0.5.4-14.fc18                @koji-override-0/$releasever
elfutils.x86_64                            0.155-1.fc18                 @koji-override-0/$releasever
elfutils-libelf.x86_64                     0.155-1.fc18                 @koji-override-0/$releasever
elfutils-libs.x86_64                       0.155-1.fc18                 @koji-override-0/$releasever
emacs-filesystem.noarch                    1:24.2-18.fc18               @updates
empathy.x86_64                             3.6.4-2.fc18                 @updates
enca.x86_64                                1.13-4.fc18                  @koji-override-0/$releasever
enchant.x86_64                             1:1.6.0-5.fc18               @koji-override-0/$releasever
eog.x86_64                                 3.6.2-1.fc18                 @koji-override-0/$releasever
espeak.x86_64                              1.47.07-1.fc18               @updates
ethtool.x86_64                             2:3.4.1-2.fc18               @koji-override-0/$releasever
evince.x86_64                              3.6.1-2.fc18                 @koji-override-0/$releasever
evince-libs.x86_64                         3.6.1-2.fc18                 @koji-override-0/$releasever
evince-nautilus.x86_64                     3.6.1-2.fc18                 @koji-override-0/$releasever
evolution.x86_64                           3.6.4-3.fc18                 @updates
evolution-data-server.x86_64               3.6.4-3.fc18                 @updates
evolution-ews.x86_64                       3.6.4-1.fc18                 @updates
exempi.x86_64                              2.2.0-6.fc18                 @updates
exiv2-libs.x86_64                          0.23-3.fc18                  @koji-override-0/$releasever
expat.x86_64                               2.1.0-4.fc18                 @koji-override-0/$releasever
expat-devel.x86_64                         2.1.0-4.fc18                 @fedora 
faad2-libs.x86_64                          1:2.7-2.fc17                 @rpmfusion-free
farstream.x86_64                           0.1.2-2.fc18                 @koji-override-0/$releasever
farstream02.x86_64                         0.2.2-2.fc18                 @updates
fcoe-utils.x86_64                          1.0.24-1.fc18                @koji-override-0/$releasever
fedora-bookmarks.noarch                    15-0.4                       @koji-override-0/$releasever
fedora-logos.noarch                        17.0.3-3.fc18                @updates
fedora-release.noarch                      18-1                         @koji-override-0/$releasever
fedora-release-notes.noarch                18.0.0-5.fc18                @updates
festival.x86_64                            1.96-21.fc18                 @koji-override-0/$releasever
festival-freebsoft-utils.noarch            0.10-4.fc18                  @koji-override-0/$releasever
festival-lib.x86_64                        1.96-21.fc18                 @koji-override-0/$releasever
festival-speechtools-libs.x86_64           1.2.96-21.fc18               @koji-override-0/$releasever
festvox-slt-arctic-hts.noarch              0.20061229-21.fc18           @koji-override-0/$releasever
fftw-libs-double.x86_64                    3.3.3-5.fc18                 @updates
file.x86_64                                5.11-4.fc18                  @koji-override-0/$releasever
file-libs.x86_64                           5.11-4.fc18                  @koji-override-0/$releasever
file-roller.x86_64                         3.6.3-1.fc18                 @koji-override-0/$releasever
